id,video_path,thumbnail_path,platforms,title,caption,hashtags_tiktok,hashtags_instagram,youtube_tags,scheduled_at,status,result,updated_at
v3-ps-fitness,video-generator/out/ps-fitness.mp4,video-generator/out/thumbnails/ps-fitness.png,instagram,Working out shouldn't need main-character energy | ADHD Fitness Tracker,"Some days you can't even open the gym app, so the whole plan fails before it starts. Real screen recording: log today's movement with zero pressure, one set at a time.

Shop the digital download — link in bio.",adhdtiktok adhd adhdproblems adhdbrain adhdcheck neurodivergent adhdwomen adhdplanner digitalplanner plannercommunity,adhd adhdawareness adhdproblems adhdbrain neurodivergent adhdwomen adhdplanner digitalplanner plannercommunity adhdtips,"ADHD, adhd fitness planner, workout tracker, gym planner, workout log",2026-08-02T20:07:01,DONE,instagram:https://www.instagram.com/reel/DbjFfIqj6Oy/,2026-08-02T20:44:33+02:00
v3-ps-selfcare,video-generator/out/ps-selfcare.mp4,video-generator/out/thumbnails/ps-selfcare.png,instagram;youtube,Skipped a shower again? Same. | ADHD Self-Care Tracker,"Self-care advice always assumes you have a routine — this one starts smaller than that. Real screen recording: wash your face, apply moisturizer, one gentle task at a time.

Shop the digital download — link in bio.",adhdcheck neurodivergent adhdwomen adhdplanner digitalplanner plannercommunity adhdtips executivedysfunction adhdlife smallbusiness,neurodivergent adhdwomen adhdplanner digitalplanner plannercommunity adhdtips executivedysfunction adhdlife adhdsupport smallbusinessowner,"ADHD, self care planner, wellness planner, self care journal, mental health planner",2026-08-15T12:40:44+00:00,DONE,youtube:https://youtube.com/shorts/8FajEVz27t8; instagram:https://www.instagram.com/reel/DcErq6xCSo2/,2026-08-15T21:53:02+02:00
v3-ps-execfunction,video-generator/out/ps-executivefunction.mp4,video-generator/out/thumbnails/ps-executivefunction.png,instagram;youtube,The task is easy. Starting it is impossible. | ADHD Executive Function Planner,"Your brain can see the whole mountain, that's exactly why it won't move. Real screen recording: open the file, read only the first line, set a 2-minute timer.

Shop the digital download — link in bio.",digitalplanner plannercommunity adhdtips executivedysfunction adhdlife smallbusiness etsyshop adhdtiktok adhd adhdproblems,plannercommunity adhdtips executivedysfunction adhdlife adhdsupport smallbusinessowner etsyseller printableplanner adhdcheck mentalhealthmatters,"ADHD, executive dysfunction planner, task paralysis, adhd planner, task avoidance",2026-08-15T14:00:00+00:00,DONE,youtube:https://youtube.com/shorts/t8WrSGZGbR8; instagram:https://www.instagram.com/reel/DcErzKfD2eF/,2026-08-15T21:53:56+02:00
v3-ps-adhdtax,video-generator/out/ps-adhdtax.mp4,video-generator/out/thumbnails/ps-adhdtax.png,instagram;youtube,"The ""ADHD tax"" is not a meme, it's your bank app | Debt Payoff Tracker","Late fees. Forgotten subscriptions. The shame spiral helps literally nobody. Real screen recording: scroll 30 days, circle what surprises you, log it — no judgment.

Shop the digital download — link in bio.",adhdlife smallbusiness etsyshop adhdtiktok adhd adhdproblems adhdbrain adhdcheck neurodivergent adhdwomen,adhdsupport smallbusinessowner etsyseller printableplanner adhdcheck mentalhealthmatters adhd adhdawareness adhdproblems adhdbrain,"ADHD, adhd tax, debt payoff tracker, impulse spending, subscription audit",2026-08-15T18:00:00+00:00,DONE,youtube:https://youtube.com/shorts/BQP2kHwep8s; instagram:https://www.instagram.com/reel/DcEr_SdD0cq/,2026-08-15T21:55:51+02:00
v3-pov-timeblindness,video-generator/out/pov-timeblindness.mp4,video-generator/out/thumbnails/pov-timeblindness.png,youtube,"""I'll be there in 5 minutes"" (it's been 35) | ADHD Time Blindness Planner","Your brain genuinely cannot feel time passing, so a 90-minute morning gets planned like 20. Real screen recording of the fix — link in bio.",adhd adhdproblems adhdbrain adhdcheck neurodivergent adhdwomen adhdplanner digitalplanner plannercommunity adhdtips,adhdcheck mentalhealthmatters adhd adhdawareness adhdproblems adhdbrain neurodivergent adhdwomen adhdplanner digitalplanner,"ADHD, time blindness planner, adhd time management, running late, procrastination",2026-08-15T21:00:00+00:00,PARTIAL,"instagram:https://www.instagram.com/reel/DcEzilDDVyx/; youtube:ERROR:token missing at publish time (retry skipped - video now fixed, needs fresh manual publish if desired)",2026-08-15T23:01:46+02:00
v3-pov-rsd,video-generator/out/pov-rsd.mp4,video-generator/out/thumbnails/pov-rsd.png,instagram;youtube,"She said ""ok."" with a period. I'm not okay. | RSD Journal",RSD turns a normal text into a five-alarm fire — your brain writes the worst-case story instantly and treats it like fact. Real screen recording of the fix — link in bio.,neurodivergent adhdwomen adhdplanner digitalplanner plannercommunity adhdtips executivedysfunction adhdlife smallbusiness etsyshop,adhdproblems adhdbrain neurodivergent adhdwomen adhdplanner digitalplanner plannercommunity adhdtips executivedysfunction adhdlife,"ADHD, RSD, rejection sensitive dysphoria, adhd feelings, adhd meltdown",2026-08-16T14:00:00+00:00,DONE,youtube:https://youtube.com/shorts/kcGvYhaQ0S8; instagram:https://www.instagram.com/reel/DcL_3O5iiCS/,2026-08-18T18:04:15+02:00
v3-pov-medication,video-generator/out/pov-medication.mp4,video-generator/out/thumbnails/pov-medication.png,instagram;youtube,Did I take my meds? ...did I though? | ADHD Medication Tracker,"ADHD meds + an ADHD memory is a wild combo — forensic detective work in the kitchen at 9pm, again. Real screen recording of the fix — link in bio.",plannercommunity adhdtips executivedysfunction adhdlife smallbusiness etsyshop adhdtiktok adhd adhdproblems adhdbrain,adhdplanner digitalplanner plannercommunity adhdtips executivedysfunction adhdlife adhdsupport smallbusinessowner etsyseller printableplanner,"ADHD, medication tracker, adhd meds, side effect log, dosage",2026-08-16T18:00:00+00:00,DONE,youtube:https://youtube.com/shorts/pCks9SwN7K0; instagram:https://www.instagram.com/reel/DcMAAO7gghc/,2026-08-18T18:05:48+02:00
v3-pov-laundry,video-generator/out/pov-laundry.mp4,video-generator/out/thumbnails/pov-laundry.png,instagram;youtube,The laundry mountain has its own zip code now | ADHD Laundry Reset,"It's never actually laziness — ""do the laundry"" is secretly 11 invisible steps, and ADHD brains stall on invisible steps. Real screen recording of the fix — link in bio.",smallbusiness etsyshop adhdtiktok adhd adhdproblems adhdbrain adhdcheck neurodivergent adhdwomen adhdplanner,executivedysfunction adhdlife adhdsupport smallbusinessowner etsyseller printableplanner adhdcheck mentalhealthmatters adhd adhdawareness,"ADHD, laundry reset, adhd chores, executive dysfunction, home routine",2026-08-16T21:00:00+00:00,DONE,youtube:https://youtube.com/shorts/mgqxQaQKa4o; instagram:https://www.instagram.com/reel/DcMANlvmjGS/,2026-08-18T18:07:17+02:00
v3-qt-sleep,video-generator/out/qt-sleep.mp4,video-generator/out/thumbnails/qt-sleep.png,instagram;youtube,3 tips if your brain won't shut off at night | ADHD Sleep Wind-Down Planner,"3 quick tips for the nights your brain won't switch off: phone-away alarm, write down the looping thought, block your evening hour by hour. All 3 built into this planner.

Link in bio.",adhdproblems adhdbrain adhdcheck neurodivergent adhdwomen adhdplanner digitalplanner plannercommunity adhdtips executivedysfunction,etsyseller printableplanner adhdcheck mentalhealthmatters adhd adhdawareness adhdproblems adhdbrain neurodivergent adhdwomen,"ADHD, adhd sleep planner, bedtime routine tracker, sleep hygiene checklist, wind down routine",2026-08-17T14:00:00+00:00,DONE,youtube:https://youtube.com/shorts/LD8CwrFIQrw; instagram:https://www.instagram.com/reel/DcMAVIgjXth/,2026-08-18T18:08:16+02:00
v3-qt-bodydoubling,video-generator/out/qt-bodydoubling.mp4,video-generator/out/thumbnails/qt-bodydoubling.png,instagram;youtube,3 tips to actually finish something today | Body Doubling Planner,"3 quick tips to actually finish something today: book a session with anyone, pick ONE task, log the real gap between planned and actual. All 3 built into this planner.

Link in bio.",adhdwomen adhdplanner digitalplanner plannercommunity adhdtips executivedysfunction adhdlife smallbusiness etsyshop adhdtiktok,adhd adhdawareness adhdproblems adhdbrain neurodivergent adhdwomen adhdplanner digitalplanner plannercommunity adhdtips,"ADHD, body doubling, coworking, focusmate, accountability partner",2026-08-17T18:00:00+00:00,DONE,youtube:https://youtube.com/shorts/Le-YebSA_2I; instagram:https://www.instagram.com/reel/DcMAcnDjKUz/,2026-08-18T18:09:20+02:00
